## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10939                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	156
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
634397200	SMP	1	890.43	585.69	585.28	597.21	20.47	20.47	4.48	21.53	21.53	4.66	885.34	589.22	892.60	589.34	582.61	600.87	589.80	600.76	913.53	659.23	913.53	659.23	0	1	1	2	-1	-1	-55.16	-17.20	525.93	11.78	-19.75	525.78	0.04	0.19	-0.98	0.02	0.20	-0.98	 -1	
634413895	SMP	1	890.37	585.95	585.49	597.36	20.69	20.69	4.48	21.60	21.60	4.66	885.56	589.63	892.63	589.62	582.81	601.11	589.96	601.11	914.38	657.78	914.38	657.78	0	1	1	2	-1	-1	-55.25	-17.30	526.49	11.75	-19.83	526.13	0.04	0.20	-0.98	0.02	0.21	-0.98	 -1	
634430590	SMP	1	890.72	586.33	585.71	597.61	20.64	20.64	4.48	21.53	21.53	4.66	885.69	589.96	892.83	590.05	582.97	601.49	590.22	601.44	908.57	656.04	908.57	656.04	0	1	1	2	-1	-1	-55.31	-17.39	526.68	11.70	-19.90	526.03	0.04	0.20	-0.98	0.02	0.21	-0.98	 -1	
634447285	SMP	1	890.82	586.47	585.91	597.75	20.55	20.55	4.48	21.58	21.58	4.66	885.83	590.13	892.95	590.16	583.20	601.61	590.43	601.50	906.67	655.32	906.67	655.32	0	1	1	2	-1	-1	-55.36	-17.43	526.91	11.65	-19.92	526.02	0.04	0.20	-0.98	0.02	0.21	-0.98	 -1	
634463979	SMP	1	890.96	586.47	586.16	597.62	20.67	20.67	4.49	21.52	21.52	4.66	886.04	590.04	893.10	590.04	583.45	601.41	590.61	601.35	904.68	655.66	904.68	655.66	0	1	1	2	-1	-1	-55.45	-17.42	527.35	11.61	-19.90	526.30	0.04	0.19	-0.98	0.02	0.21	-0.98	 -1	
781531873	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 -1	
781548567	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 -1	
781565261	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 -1	
781581956	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 -1	
781598650	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 -1	
