## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11222                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	46
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
110266603	SMP	1	934.33	442.47	643.99	445.62	17.55	17.55	3.95	16.04	16.04	3.60	930.75	447.07	937.51	446.98	642.33	450.08	649.25	449.70	1049.87	578.34	1049.87	578.34	0	1	1	2	-1	-1	-67.23	14.72	542.69	-1.43	13.98	539.55	0.11	0.18	-0.98	0.09	0.17	-0.98		
110283310	SMP	1	934.19	442.33	643.75	445.52	17.55	17.55	3.95	16.05	16.05	3.59	930.57	446.92	937.30	446.85	642.11	449.96	649.05	449.61	1051.05	577.46	1051.05	577.46	0	1	1	2	-1	-1	-67.19	14.75	542.78	-1.38	14.00	539.28	0.11	0.18	-0.98	0.09	0.17	-0.98	 -1	
110300017	SMP	1	931.74	442.00	641.19	445.41	17.59	17.59	3.95	16.18	16.18	3.59	929.12	446.86	935.77	446.65	640.60	449.53	647.82	449.68	1198.15	574.76	1198.15	574.76	0	1	1	2	-1	-1	-66.90	14.79	543.18	-1.06	14.00	537.88	0.15	0.19	-0.97	0.14	0.17	-0.98	 -1	
110316724	SMP	1	928.86	441.97	638.83	445.54	17.38	17.38	3.94	15.90	15.90	3.58	927.36	447.00	934.06	446.91	639.49	450.07	646.32	449.93	1352.42	557.37	1352.42	557.37	0	1	1	2	-1	-1	-66.53	14.75	543.34	-0.77	13.92	538.27	0.20	0.21	-0.96	0.19	0.18	-0.97	 -1	
110333431	SMP	1	927.34	442.40	637.63	445.95	17.37	17.37	3.94	15.88	15.88	3.57	926.60	447.29	933.39	447.28	638.86	450.79	645.42	450.34	1434.56	545.13	1434.56	545.13	0	1	1	2	-1	-1	-66.33	14.67	543.09	-0.60	13.83	539.82	0.24	0.20	-0.95	0.21	0.19	-0.96	 -1	
110350138	SMP	1	927.53	442.35	637.58	445.99	17.25	17.25	3.92	15.88	15.88	3.56	926.65	447.31	933.45	447.26	638.57	450.85	645.35	450.42	1424.71	531.96	1424.71	531.96	0	1	1	2	-1	-1	-66.31	14.66	542.83	-0.56	13.83	540.24	0.23	0.20	-0.95	0.20	0.19	-0.96	 -1	
110366845	SMP	1	927.43	442.22	637.32	445.79	17.33	17.33	3.92	15.96	15.96	3.56	926.59	447.08	933.38	447.06	638.53	450.62	645.06	450.23	1429.73	528.71	1429.73	528.71	0	1	1	2	-1	-1	-66.27	14.70	542.61	-0.52	13.91	541.69	0.23	0.20	-0.95	0.21	0.19	-0.96	 -1	
110383552	SMP	1	927.45	441.97	637.20	445.61	17.33	17.33	3.91	15.91	15.91	3.56	926.62	446.86	933.33	446.67	638.39	450.38	645.00	450.08	1431.40	526.52	1431.40	526.52	0	1	1	2	-1	-1	-66.29	14.78	542.75	-0.50	13.98	542.67	0.23	0.20	-0.95	0.21	0.19	-0.96	 -1	
110400259	SMP	1	927.41	441.67	637.21	445.49	17.24	17.24	3.91	15.91	15.91	3.55	926.59	446.58	933.35	446.46	638.16	450.19	644.97	450.07	1429.21	520.71	1429.21	520.71	0	1	1	2	-1	-1	-66.28	14.83	542.68	-0.47	14.01	542.62	0.23	0.20	-0.95	0.20	0.19	-0.96	 -1	
110416966	SMP	1	927.33	441.52	637.02	445.38	17.24	17.24	3.90	15.92	15.92	3.55	926.54	446.43	933.28	446.30	638.03	450.07	644.89	449.96	1430.99	518.23	1430.99	518.23	0	1	1	2	-1	-1	-66.27	14.87	542.70	-0.45	14.02	542.33	0.23	0.20	-0.95	0.21	0.19	-0.96	 -1	
