kind,name,x,y,width,height,local_id,image
line,line 1,536,173,267,19,,rectangle_java2.jpg
sub-line,line 1 part 1,536,173,69,19,,rectangle_java2.jpg
sub-line,line 1 part 2,616,173,55,19,,rectangle_java2.jpg
sub-line,line 1 part 3,682,173,102,19,,rectangle_java2.jpg
sub-line,line 1 part 4,797,173,7,19,,rectangle_java2.jpg
line,line 2,616,215,345,19,,rectangle_java2.jpg
sub-line,line 2 part 1,616,215,80,19,,rectangle_java2.jpg
sub-line,line 2 part 2,707,215,33,19,,rectangle_java2.jpg
sub-line,line 2 part 3,751,215,23,19,,rectangle_java2.jpg
sub-line,line 2 part 4,786,215,7,19,,rectangle_java2.jpg
sub-line,line 2 part 5,807,215,23,19,,rectangle_java2.jpg
sub-line,line 2 part 6,842,215,7,19,,rectangle_java2.jpg
sub-line,line 2 part 7,863,215,22,19,,rectangle_java2.jpg
sub-line,line 2 part 8,898,215,7,19,,rectangle_java2.jpg
sub-line,line 2 part 9,919,215,22,19,,rectangle_java2.jpg
sub-line,line 2 part 10,955,215,7,19,,rectangle_java2.jpg
line,line 3,616,257,625,19,,rectangle_java2.jpg
sub-line,line 3 part 1,616,257,69,19,,rectangle_java2.jpg
sub-line,line 3 part 2,695,257,101,19,,rectangle_java2.jpg
sub-line,line 3 part 3,811,257,7,19,,rectangle_java2.jpg
sub-line,line 3 part 4,830,257,34,19,,rectangle_java2.jpg
sub-line,line 3 part 5,874,257,23,19,,rectangle_java2.jpg
sub-line,line 3 part 6,910,257,6,19,,rectangle_java2.jpg
sub-line,line 3 part 7,931,257,33,19,,rectangle_java2.jpg
sub-line,line 3 part 8,975,257,23,19,,rectangle_java2.jpg
sub-line,line 3 part 9,1010,257,7,19,,rectangle_java2.jpg
sub-line,line 3 part 10,1032,257,33,19,,rectangle_java2.jpg
sub-line,line 3 part 11,1076,257,22,19,,rectangle_java2.jpg
sub-line,line 3 part 12,1111,257,7,19,,rectangle_java2.jpg
sub-line,line 3 part 13,1132,257,34,19,,rectangle_java2.jpg
