kind,name,x,y,width,height,local_id,image,token
sub-line,line 1 part 1,592,225,58,15,,rectangle_java2.jpg,public
sub-line,line 1 part 2,660,225,47,15,,rectangle_java2.jpg,class
sub-line,line 1 part 3,717,225,87,15,,rectangle_java2.jpg,Rectangle
sub-line,line 1 part 4,817,225,4,15,,rectangle_java2.jpg,{
sub-line,line 2 part 1,672,262,68,16,,rectangle_java2.jpg,private
sub-line,line 2 part 2,751,262,27,16,,rectangle_java2.jpg,int
sub-line,line 2 part 3,788,262,18,16,,rectangle_java2.jpg,x1
sub-line,line 2 part 4,818,262,5,16,,rectangle_java2.jpg,","
sub-line,line 2 part 5,836,262,18,16,,rectangle_java2.jpg,y1
sub-line,line 2 part 6,866,262,5,16,,rectangle_java2.jpg,","
sub-line,line 2 part 7,884,262,18,16,,rectangle_java2.jpg,x2
sub-line,line 2 part 8,914,262,5,16,,rectangle_java2.jpg,","
sub-line,line 2 part 9,932,262,18,16,,rectangle_java2.jpg,y2
sub-line,line 2 part 10,962,262,6,16,,rectangle_java2.jpg,;
sub-line,line 3 part 1,672,297,58,16,,rectangle_java2.jpg,public
sub-line,line 3 part 2,740,297,86,16,,rectangle_java2.jpg,Rectangle
sub-line,line 3 part 3,839,297,9,16,,rectangle_java2.jpg,(
sub-line,line 3 part 4,856,297,28,16,,rectangle_java2.jpg,int
sub-line,line 3 part 5,894,297,18,16,,rectangle_java2.jpg,x1
sub-line,line 3 part 6,924,297,5,16,,rectangle_java2.jpg,","
sub-line,line 3 part 7,943,297,27,16,,rectangle_java2.jpg,int
sub-line,line 3 part 8,980,297,18,16,,rectangle_java2.jpg,y1
sub-line,line 3 part 9,1010,297,5,16,,rectangle_java2.jpg,","
sub-line,line 3 part 10,1029,297,27,16,,rectangle_java2.jpg,int
sub-line,line 3 part 11,1066,297,18,16,,rectangle_java2.jpg,x2
sub-line,line 3 part 12,1097,297,4,16,,rectangle_java2.jpg,","
sub-line,line 3 part 13,1115,297,28,16,,rectangle_java2.jpg,int
sub-line,line 3 part 14,1153,297,18,16,,rectangle_java2.jpg,y2
sub-line,line 3 part 15,1183,297,5,16,,rectangle_java2.jpg,)
sub-line,line 3 part 16,1204,297,4,16,,rectangle_java2.jpg,{
sub-line,line 4 part 1,734,333,66,16,,rectangle_java2.jpg,this.x1
sub-line,line 4 part 2,809,333,10,16,,rectangle_java2.jpg,=
sub-line,line 4 part 3,829,333,19,16,,rectangle_java2.jpg,x1
sub-line,line 4 part 4,859,333,5,16,,rectangle_java2.jpg,;
sub-line,line 5 part 1,734,370,65,15,,rectangle_java2.jpg,this.y1
sub-line,line 5 part 2,809,370,10,15,,rectangle_java2.jpg,=
sub-line,line 5 part 3,829,370,18,15,,rectangle_java2.jpg,y1
sub-line,line 5 part 4,859,370,5,15,,rectangle_java2.jpg,;
sub-line,line 6 part 1,734,407,65,14,,rectangle_java2.jpg,this.x2
sub-line,line 6 part 2,809,407,10,14,,rectangle_java2.jpg,=
sub-line,line 6 part 3,829,407,18,14,,rectangle_java2.jpg,x2
sub-line,line 6 part 4,859,407,5,14,,rectangle_java2.jpg,;
sub-line,line 7 part 1,734,441,65,22,,rectangle_java2.jpg,this.y2
sub-line,line 7 part 2,809,441,10,22,,rectangle_java2.jpg,=
sub-line,line 7 part 3,829,441,18,22,,rectangle_java2.jpg,y2
sub-line,line 7 part 4,859,441,5,22,,rectangle_java2.jpg,;
sub-line,line 8 part 1,675,481,5,14,,rectangle_java2.jpg,}
sub-line,line 9 part 1,672,515,58,15,,rectangle_java2.jpg,public
sub-line,line 9 part 2,740,515,28,15,,rectangle_java2.jpg,int
sub-line,line 9 part 3,778,515,49,15,,rectangle_java2.jpg,width
sub-line,line 9 part 4,839,515,5,15,,rectangle_java2.jpg,(
sub-line,line 9 part 5,856,515,5,15,,rectangle_java2.jpg,)
sub-line,line 9 part 6,878,515,4,15,,rectangle_java2.jpg,{
sub-line,line 9 part 7,894,515,58,15,,rectangle_java2.jpg,return
sub-line,line 9 part 8,962,515,65,15,,rectangle_java2.jpg,this.x2
sub-line,line 9 part 9,1058,515,65,15,,rectangle_java2.jpg,-
