kind,name,x,y,width,height,local_id,image
line,line 1,566,321,780,19,,rectangle_java2.jpg
sub-line,line 1 part 1,566,321,55,19,,rectangle_java2.jpg
sub-line,line 1 part 2,633,321,100,19,,rectangle_java2.jpg
sub-line,line 1 part 3,749,321,40,19,,rectangle_java2.jpg
sub-line,line 1 part 4,801,321,21,19,,rectangle_java2.jpg
sub-line,line 1 part 5,827,321,4,19,,rectangle_java2.jpg
sub-line,line 1 part 6,847,321,40,19,,rectangle_java2.jpg
sub-line,line 1 part 7,901,321,34,19,,rectangle_java2.jpg
sub-line,line 1 part 8,946,321,31,19,,rectangle_java2.jpg
sub-line,line 1 part 9,992,321,40,19,,rectangle_java2.jpg
sub-line,line 1 part 10,1047,321,33,19,,rectangle_java2.jpg
sub-line,line 1 part 11,1092,321,21,19,,rectangle_java2.jpg
sub-line,line 1 part 12,1118,321,6,19,,rectangle_java2.jpg
sub-line,line 1 part 13,1138,321,40,19,,rectangle_java2.jpg
sub-line,line 1 part 14,1192,321,34,19,,rectangle_java2.jpg
sub-line,line 1 part 15,1238,321,30,19,,rectangle_java2.jpg
sub-line,line 1 part 16,1284,321,39,19,,rectangle_java2.jpg
sub-line,line 1 part 17,1341,321,6,19,,rectangle_java2.jpg
line,line 2,640,360,324,24,,rectangle_java2.jpg
sub-line,line 2 part 1,640,360,34,24,,rectangle_java2.jpg
sub-line,line 2 part 2,684,360,57,24,,rectangle_java2.jpg
sub-line,line 2 part 3,752,360,12,24,,rectangle_java2.jpg
sub-line,line 2 part 4,769,360,85,24,,rectangle_java2.jpg
sub-line,line 2 part 5,865,360,11,24,,rectangle_java2.jpg
sub-line,line 2 part 6,887,360,78,24,,rectangle_java2.jpg
line,line 3,640,402,335,22,,rectangle_java2.jpg
sub-line,line 3 part 1,640,402,34,22,,rectangle_java2.jpg
sub-line,line 3 part 2,685,402,67,22,,rectangle_java2.jpg
sub-line,line 3 part 3,763,402,12,22,,rectangle_java2.jpg
sub-line,line 3 part 4,786,402,77,22,,rectangle_java2.jpg
sub-line,line 3 part 5,876,402,11,22,,rectangle_java2.jpg
sub-line,line 3 part 6,898,402,78,22,,rectangle_java2.jpg
line,line 4,640,447,391,20,,rectangle_java2.jpg
sub-line,line 4 part 1,640,447,35,20,,rectangle_java2.jpg
sub-line,line 4 part 2,685,447,45,20,,rectangle_java2.jpg
sub-line,line 4 part 3,741,447,12,20,,rectangle_java2.jpg
sub-line,line 4 part 4,764,447,112,20,,rectangle_java2.jpg
sub-line,line 4 part 5,888,447,9,20,,rectangle_java2.jpg
sub-line,line 4 part 6,909,447,123,20,,rectangle_java2.jpg
line,line 5,568,491,5,17,,rectangle_java2.jpg
sub-line,line 5 part 1,568,491,6,17,,rectangle_java2.jpg
line,line 6,566,532,366,19,,rectangle_java2.jpg
sub-line,line 6 part 1,566,532,66,19,,rectangle_java2.jpg
sub-line,line 6 part 2,644,532,135,19,,rectangle_java2.jpg
sub-line,line 6 part 3,790,532,77,19,,rectangle_java2.jpg
sub-line,line 6 part 4,878,532,35,19,,rectangle_java2.jpg
sub-line,line 6 part 5,927,532,6,19,,rectangle_java2.jpg
line,line 7,640,572,432,21,,rectangle_java2.jpg
sub-line,line 7 part 1,640,572,33,21,,rectangle_java2.jpg
sub-line,line 7 part 2,686,572,54,21,,rectangle_java2.jpg
sub-line,line 7 part 3,752,572,12,21,,rectangle_java2.jpg
sub-line,line 7 part 4,775,572,34,21,,rectangle_java2.jpg
sub-line,line 7 part 5,819,572,101,21,,rectangle_java2.jpg
sub-line,line 7 part 6,925,572,25,21,,rectangle_java2.jpg
sub-line,line 7 part 7,966,572,18,21,,rectangle_java2.jpg
sub-line,line 7 part 8,1000,572,28,21,,rectangle_java2.jpg
sub-line,line 7 part 9,1045,572,28,21,,rectangle_java2.jpg
line,line 8,640,617,208,19,,rectangle_java2.jpg
sub-line,line 8 part 1,640,617,209,19,,rectangle_java2.jpg
line,line 9,640,657,432,22,,rectangle_java2.jpg
sub-line,line 9 part 1,640,657,33,22,,rectangle_java2.jpg
sub-line,line 9 part 2,686,657,56,22,,rectangle_java2.jpg
sub-line,line 9 part 3,752,657,12,22,,rectangle_java2.jpg
sub-line,line 9 part 4,775,657,34,22,,rectangle_java2.jpg
sub-line,line 9 part 5,819,657,101,22,,rectangle_java2.jpg
sub-line,line 9 part 6,925,657,25,22,,rectangle_java2.jpg
sub-line,line 9 part 7,966,657,18,22,,rectangle_java2.jpg
sub-line,line 9 part 8,1000,657,28,22,,rectangle_java2.jpg
sub-line,line 9 part 9,1045,657,28,22,,rectangle_java2.jpg
line,line 10,640,700,208,20,,rectangle_java2.jpg
sub-line,line 10 part 1,640,700,209,20,,rectangle_java2.jpg
line,line 11,568,744,8,17,,rectangle_java2.jpg
sub-line,line 11 part 1,568,744,6,17,,rectangle_java2.jpg
