kind,name,x,y,width,height,local_id,image
line,line 1,609,57,243,18,,rectangle_java2.jpg
sub-line,line 1 part 1,609,57,68,18,,rectangle_java2.jpg
sub-line,line 1 part 2,689,57,54,18,,rectangle_java2.jpg
sub-line,line 1 part 3,756,57,77,18,,rectangle_java2.jpg
sub-line,line 1 part 4,849,57,4,18,,rectangle_java2.jpg
line,line 2,670,99,264,18,,rectangle_java2.jpg
sub-line,line 2 part 1,670,99,67,18,,rectangle_java2.jpg
sub-line,line 2 part 2,747,99,91,18,,rectangle_java2.jpg
sub-line,line 2 part 3,851,99,5,18,,rectangle_java2.jpg
sub-line,line 2 part 4,874,99,42,18,,rectangle_java2.jpg
sub-line,line 2 part 5,930,99,5,18,,rectangle_java2.jpg
line,line 3,666,137,324,22,,rectangle_java2.jpg
sub-line,line 3 part 1,671,137,32,22,,rectangle_java2.jpg
sub-line,line 3 part 2,717,137,88,22,,rectangle_java2.jpg
sub-line,line 3 part 3,817,137,6,22,,rectangle_java2.jpg
sub-line,line 3 part 4,838,137,135,22,,rectangle_java2.jpg
sub-line,line 3 part 5,986,137,5,22,,rectangle_java2.jpg
line,line 4,667,201,548,22,,rectangle_java2.jpg
sub-line,line 4 part 1,669,201,68,22,,rectangle_java2.jpg
sub-line,line 4 part 2,749,201,82,22,,rectangle_java2.jpg
sub-line,line 4 part 3,842,201,5,22,,rectangle_java2.jpg
sub-line,line 4 part 4,861,201,66,22,,rectangle_java2.jpg
sub-line,line 4 part 5,938,201,12,22,,rectangle_java2.jpg
sub-line,line 4 part 6,963,201,5,22,,rectangle_java2.jpg
sub-line,line 4 part 7,984,201,67,22,,rectangle_java2.jpg
sub-line,line 4 part 8,1064,201,8,22,,rectangle_java2.jpg
sub-line,line 4 part 9,1086,201,5,22,,rectangle_java2.jpg
sub-line,line 4 part 10,1108,201,32,22,,rectangle_java2.jpg
sub-line,line 4 part 11,1154,201,20,22,,rectangle_java2.jpg
sub-line,line 4 part 12,1187,201,5,22,,rectangle_java2.jpg
sub-line,line 4 part 13,1211,201,5,22,,rectangle_java2.jpg
line,line 5,730,247,212,18,,rectangle_java2.jpg
sub-line,line 5 part 1,732,247,143,18,,rectangle_java2.jpg
sub-line,line 5 part 2,886,247,12,18,,rectangle_java2.jpg
sub-line,line 5 part 3,908,247,12,18,,rectangle_java2.jpg
sub-line,line 5 part 4,934,247,5,18,,rectangle_java2.jpg
line,line 6,730,289,164,18,,rectangle_java2.jpg
sub-line,line 6 part 1,732,289,98,18,,rectangle_java2.jpg
sub-line,line 6 part 2,842,289,11,18,,rectangle_java2.jpg
sub-line,line 6 part 3,866,289,9,18,,rectangle_java2.jpg
sub-line,line 6 part 4,889,289,6,18,,rectangle_java2.jpg
line,line 7,730,331,220,18,,rectangle_java2.jpg
sub-line,line 7 part 1,732,331,144,18,,rectangle_java2.jpg
sub-line,line 7 part 2,886,331,12,18,,rectangle_java2.jpg
sub-line,line 7 part 3,911,331,20,18,,rectangle_java2.jpg
sub-line,line 7 part 4,945,331,6,18,,rectangle_java2.jpg
line,line 8,729,374,254,18,,rectangle_java2.jpg
sub-line,line 8 part 1,732,374,189,18,,rectangle_java2.jpg
sub-line,line 8 part 2,931,374,12,18,,rectangle_java2.jpg
sub-line,line 8 part 3,954,374,10,18,,rectangle_java2.jpg
sub-line,line 8 part 4,978,374,6,18,,rectangle_java2.jpg
line,line 9,672,417,5,16,,rectangle_java2.jpg
sub-line,line 9 part 1,672,417,6,16,,rectangle_java2.jpg
line,line 10,669,479,389,18,,rectangle_java2.jpg
sub-line,line 10 part 1,669,479,68,18,,rectangle_java2.jpg
sub-line,line 10 part 2,749,479,32,18,,rectangle_java2.jpg
sub-line,line 10 part 3,793,479,111,18,,rectangle_java2.jpg
sub-line,line 10 part 4,920,479,6,18,,rectangle_java2.jpg
sub-line,line 10 part 5,940,479,32,18,,rectangle_java2.jpg
sub-line,line 10 part 6,984,479,33,18,,rectangle_java2.jpg
sub-line,line 10 part 7,1030,479,5,18,,rectangle_java2.jpg
sub-line,line 10 part 8,1055,479,4,18,,rectangle_java2.jpg
line,line 11,730,522,578,19,,rectangle_java2.jpg
sub-line,line 11 part 1,731,522,21,19,,rectangle_java2.jpg
sub-line,line 11 part 2,768,522,5,19,,rectangle_java2.jpg
sub-line,line 11 part 3,790,522,6,19,,rectangle_java2.jpg
sub-line,line 11 part 4,810,522,189,19,,rectangle_java2.jpg
sub-line,line 11 part 5,1014,522,7,19,,rectangle_java2.jpg
sub-line,line 11 part 6,1033,522,33,19,,rectangle_java2.jpg
sub-line,line 11 part 7,1079,522,5,19,,rectangle_java2.jpg
sub-line,line 11 part 8,1100,522,11,19,,rectangle_java2.jpg
sub-line,line 11 part 9,1124,522,144,19,,rectangle_java2.jpg
sub-line,line 11 part 10,1280,522,5,19,,rectangle_java2.jpg
sub-line,line 11 part 11,1305,522,4,19,,rectangle_java2.jpg
line,line 12,790,564,388,20,,rectangle_java2.jpg
sub-line,line 12 part 1,792,564,189,20,,rectangle_java2.jpg
sub-line,line 12 part 2,991,564,12,20,,rectangle_java2.jpg
sub-line,line 12 part 3,1016,564,144,20,,rectangle_java2.jpg
sub-line,line 12 part 4,1173,564,6,20,,rectangle_java2.jpg
line,line 13,731,607,85,16,,rectangle_java2.jpg
sub-line,line 13 part 1,732,607,6,16,,rectangle_java2.jpg
sub-line,line 13 part 2,752,607,45,16,,rectangle_java2.jpg
sub-line,line 13 part 3,812,607,5,16,,rectangle_java2.jpg
line,line 14,790,649,500,18,,rectangle_java2.jpg
sub-line,line 14 part 1,792,649,189,18,,rectangle_java2.jpg
sub-line,line 14 part 2,991,649,16,18,,rectangle_java2.jpg
sub-line,line 14 part 3,1016,649,189,18,,rectangle_java2.jpg
sub-line,line 14 part 4,1220,649,6,18,,rectangle_java2.jpg
sub-line,line 14 part 5,1239,649,32,18,,rectangle_java2.jpg
sub-line,line 14 part 6,1285,649,6,18,,rectangle_java2.jpg
line,line 15,732,692,10,16,,rectangle_java2.jpg
sub-line,line 15 part 1,732,692,6,16,,rectangle_java2.jpg
line,line 16,730,733,287,19,,rectangle_java2.jpg
sub-line,line 16 part 1,731,733,66,19,,rectangle_java2.jpg
sub-line,line 16 part 2,810,733,189,19,,rectangle_java2.jpg
sub-line,line 16 part 3,1012,733,6,19,,rectangle_java2.jpg
line,line 17,672,777,5,16,,rectangle_java2.jpg
sub-line,line 17 part 1,672,777,6,16,,rectangle_java2.jpg
line,line 18,669,839,501,18,,rectangle_java2.jpg
sub-line,line 18 part 1,669,839,68,18,,rectangle_java2.jpg
sub-line,line 18 part 2,749,839,66,18,,rectangle_java2.jpg
sub-line,line 18 part 3,827,839,45,18,,rectangle_java2.jpg
sub-line,line 18 part 4,881,839,46,18,,rectangle_java2.jpg
sub-line,line 18 part 5,943,839,6,18,,rectangle_java2.jpg
sub-line,line 18 part 6,961,839,67,18,,rectangle_java2.jpg
sub-line,line 18 part 7,1040,839,43,18,,rectangle_java2.jpg
sub-line,line 18 part 8,1100,839,5,18,,rectangle_java2.jpg
sub-line,line 18 part 9,1119,839,6,18,,rectangle_java2.jpg
sub-line,line 18 part 10,1142,839,5,18,,rectangle_java2.jpg
sub-line,line 18 part 11,1167,839,4,18,,rectangle_java2.jpg
line,line 19,729,881,545,17,,rectangle_java2.jpg
sub-line,line 19 part 1,730,881,78,17,,rectangle_java2.jpg
sub-line,line 19 part 2,820,881,11,17,,rectangle_java2.jpg
sub-line,line 19 part 3,842,881,11,17,,rectangle_java2.jpg
sub-line,line 19 part 4,864,881,34,17,,rectangle_java2.jpg
sub-line,line 19 part 5,909,881,78,17,,rectangle_java2.jpg
sub-line,line 19 part 6,1003,881,5,17,,rectangle_java2.jpg
sub-line,line 19 part 7,1023,881,64,17,,rectangle_java2.jpg
sub-line,line 19 part 8,1101,881,6,17,,rectangle_java2.jpg
sub-line,line 19 part 9,1123,881,43,17,,rectangle_java2.jpg
sub-line,line 19 part 10,1180,881,5,17,,rectangle_java2.jpg
sub-line,line 19 part 11,1201,881,32,17,,rectangle_java2.jpg
sub-line,line 19 part 12,1247,881,5,17,,rectangle_java2.jpg
sub-line,line 19 part 13,1270,881,5,17,,rectangle_java2.jpg
line,line 20,729,925,232,16,,rectangle_java2.jpg
sub-line,line 20 part 1,731,925,133,16,,rectangle_java2.jpg
sub-line,line 20 part 2,880,925,5,16,,rectangle_java2.jpg
sub-line,line 20 part 3,899,925,20,16,,rectangle_java2.jpg
sub-line,line 20 part 4,933,925,5,16,,rectangle_java2.jpg
sub-line,line 20 part 5,956,925,6,16,,rectangle_java2.jpg
line,line 21,672,967,5,16,,rectangle_java2.jpg
sub-line,line 21 part 1,672,967,6,16,,rectangle_java2.jpg
line,line 22,612,1009,10,16,,rectangle_java2.jpg
sub-line,line 22 part 1,612,1009,6,16,,rectangle_java2.jpg
