kind,name,x,y,width,height,local_id,image
line,line 1,634,180,512,19,,rectangle_java2.jpg
sub-line,line 1 part 1,634,180,56,19,,rectangle_java2.jpg
sub-line,line 1 part 2,701,180,79,19,,rectangle_java2.jpg
sub-line,line 1 part 3,795,180,27,19,,rectangle_java2.jpg
sub-line,line 1 part 4,836,180,75,19,,rectangle_java2.jpg
sub-line,line 1 part 5,927,180,18,19,,rectangle_java2.jpg
sub-line,line 1 part 6,959,180,75,19,,rectangle_java2.jpg
sub-line,line 1 part 7,1050,180,30,19,,rectangle_java2.jpg
sub-line,line 1 part 8,1094,180,40,19,,rectangle_java2.jpg
sub-line,line 1 part 9,1142,180,5,19,,rectangle_java2.jpg
line,line 2,677,221,180,17,,rectangle_java2.jpg
sub-line,line 2 part 1,679,221,33,17,,rectangle_java2.jpg
sub-line,line 2 part 2,722,221,91,17,,rectangle_java2.jpg
sub-line,line 2 part 3,823,221,13,17,,rectangle_java2.jpg
sub-line,line 2 part 4,845,221,13,17,,rectangle_java2.jpg
line,line 3,677,261,146,17,,rectangle_java2.jpg
sub-line,line 3 part 1,679,261,33,17,,rectangle_java2.jpg
sub-line,line 3 part 2,723,261,56,17,,rectangle_java2.jpg
sub-line,line 3 part 3,790,261,12,17,,rectangle_java2.jpg
sub-line,line 3 part 4,812,261,12,17,,rectangle_java2.jpg
line,line 4,674,302,195,17,,rectangle_java2.jpg
sub-line,line 4 part 1,679,302,33,17,,rectangle_java2.jpg
sub-line,line 4 part 2,724,302,90,17,,rectangle_java2.jpg
sub-line,line 4 part 3,823,302,13,17,,rectangle_java2.jpg
sub-line,line 4 part 4,848,302,22,17,,rectangle_java2.jpg
line,line 5,674,342,227,18,,rectangle_java2.jpg
sub-line,line 5 part 1,679,342,33,18,,rectangle_java2.jpg
sub-line,line 5 part 2,723,342,135,18,,rectangle_java2.jpg
sub-line,line 5 part 3,868,342,12,18,,rectangle_java2.jpg
sub-line,line 5 part 4,892,342,10,18,,rectangle_java2.jpg
line,line 6,678,401,311,16,,rectangle_java2.jpg
sub-line,line 6 part 1,678,401,34,16,,rectangle_java2.jpg
sub-line,line 6 part 2,723,401,165,16,,rectangle_java2.jpg
sub-line,line 6 part 3,903,401,40,16,,rectangle_java2.jpg
sub-line,line 6 part 4,958,401,13,16,,rectangle_java2.jpg
sub-line,line 6 part 5,984,401,6,16,,rectangle_java2.jpg
line,line 7,738,441,539,18,,rectangle_java2.jpg
sub-line,line 7 part 1,743,441,22,18,,rectangle_java2.jpg
sub-line,line 7 part 2,780,441,210,18,,rectangle_java2.jpg
sub-line,line 7 part 3,1004,441,7,18,,rectangle_java2.jpg
sub-line,line 7 part 4,1023,441,40,18,,rectangle_java2.jpg
sub-line,line 7 part 5,1078,441,13,18,,rectangle_java2.jpg
sub-line,line 7 part 6,1102,441,152,18,,rectangle_java2.jpg
sub-line,line 7 part 7,1272,441,6,18,,rectangle_java2.jpg
line,line 8,806,481,370,18,,rectangle_java2.jpg
sub-line,line 8 part 1,808,481,190,18,,rectangle_java2.jpg
sub-line,line 8 part 2,1007,481,13,18,,rectangle_java2.jpg
sub-line,line 8 part 3,1032,481,145,18,,rectangle_java2.jpg
line,line 9,744,523,85,16,,rectangle_java2.jpg
sub-line,line 9 part 1,744,523,7,16,,rectangle_java2.jpg
sub-line,line 9 part 2,764,523,45,16,,rectangle_java2.jpg
sub-line,line 9 part 3,824,523,6,16,,rectangle_java2.jpg
line,line 10,805,562,482,18,,rectangle_java2.jpg
sub-line,line 10 part 1,808,562,190,18,,rectangle_java2.jpg
sub-line,line 10 part 2,1007,562,13,18,,rectangle_java2.jpg
sub-line,line 10 part 3,1032,562,190,18,,rectangle_java2.jpg
sub-line,line 10 part 4,1236,562,7,18,,rectangle_java2.jpg
sub-line,line 10 part 5,1255,562,33,18,,rectangle_java2.jpg
line,line 11,744,603,6,16,,rectangle_java2.jpg
sub-line,line 11 part 1,744,603,7,16,,rectangle_java2.jpg
line,line 12,742,642,191,19,,rectangle_java2.jpg
sub-line,line 12 part 1,744,642,190,19,,rectangle_java2.jpg
line,line 13,680,684,7,16,,rectangle_java2.jpg
sub-line,line 13 part 1,680,684,8,16,,rectangle_java2.jpg
line,line 14,634,724,8,17,,rectangle_java2.jpg
sub-line,line 14 part 1,636,724,7,17,,rectangle_java2.jpg
line,line 15,634,780,349,21,,rectangle_java2.jpg
sub-line,line 15 part 1,634,780,67,21,,rectangle_java2.jpg
sub-line,line 15 part 2,713,780,112,21,,rectangle_java2.jpg
sub-line,line 15 part 3,835,780,80,21,,rectangle_java2.jpg
sub-line,line 15 part 4,925,780,35,21,,rectangle_java2.jpg
sub-line,line 15 part 5,974,780,5,21,,rectangle_java2.jpg
line,line 16,677,823,422,17,,rectangle_java2.jpg
sub-line,line 16 part 1,679,823,33,17,,rectangle_java2.jpg
sub-line,line 16 part 2,722,823,14,17,,rectangle_java2.jpg
sub-line,line 16 part 3,745,823,12,17,,rectangle_java2.jpg
sub-line,line 16 part 4,764,823,39,17,,rectangle_java2.jpg
sub-line,line 16 part 5,813,823,164,17,,rectangle_java2.jpg
sub-line,line 16 part 6,993,823,51,17,,rectangle_java2.jpg
sub-line,line 16 part 7,1059,823,41,17,,rectangle_java2.jpg
line,line 17,677,864,176,15,,rectangle_java2.jpg
sub-line,line 17 part 1,679,864,175,15,,rectangle_java2.jpg
line,line 18,636,886,6,16,,rectangle_java2.jpg
sub-line,line 18 part 1,636,886,7,16,,rectangle_java2.jpg
