"id","age","gender","mother_tongue","english_level","visual_aid","makeup","experiment_language","expertise_experiment_language","time_experiment_language","frequency_experiment_language","other_languages","expertise_programming","time_programming","frequency_other_language","answer_rectangle","correct_rectangle","order_rectangle","stimulus_rectangle","answer_vehicle","correct_vehicle","order_vehicle","stimulus_vehicle","mother_tongue_original","time_experiment_language_original","time_programming_original","other_languages_original"
1,63,"male","Czech","high","glasses","no","Java","high",30,"not at all","coffeescript_high; javascript_high; python_medium; pascal_high; c_medium; c++_medium; fortran_low; algol_low; php_medium","high","40.0+","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","czech","30y","40+","CoffeeScript (high) JavaScript (high) Python (medium) Pascal (high) C, C++ (medium) Fortran (low) Algol (low) PHP (medium)"
2,24,"male","Slovak","medium","glasses","no","Java","medium",2,"more than 1 hour / day","c++_low; php_medium; delphi_low","medium","5.0","not at all","computes the area of rectangles by multiplying their width (x1-x2) and height (y1-y2).",0,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Slovak","2","5","c++(low), php(medium), delphi(low)"
3,27,"female","Hebrew","high","no","no","Java","none",0,"not at all","c#_low","none","0.0","not at all","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","Hebrew","0","0","c# (low)"
4,24,"male","Hindi","high","glasses","no","Java","medium",4,"less than 1 hour / week","python_high; c++_high; c_high; html_high; php_high; sql_high","medium","10.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Hindi","4","10","Python(High) C++(High) C(High) HTML/PHP/SQL (High)"
5,24,"male","Italian","medium","no","no","Java","none",0,"not at all","objective c; c","low","5.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","italiano","0","5","objective C , C "
6,21,"male","Chinese","medium","no","no","Java","medium",2,"less than 1 hour / day","c_medium; c++_low; sql_low","medium","3.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java.jpg","Chinese ","2","3","C (medium) C++ (low) SQL(low)"
7,19,"male","Finnish","medium","no","no","Scala","low",0,"more than 1 hour / day","none","low","0.0","not at all","computes the area of rectangles by multiplying their width (x1-x2) and height (y1-y2).",0,2,"rectangle_scala.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_scala.jpg","finnish","0","0","-"
8,26,"female","Italian","high","no","yes","Java","none",0,"not at all","c++_low","low","1.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can reduce its speed.",0,1,"vehicle_java2.jpg","Italian","0","1","C++ (low)"
9,38,"male","German","high","no","no","Java","low",14,"less than 1 hour / month","c++_high; python_low; bash_high; haskell_low; assembly_low; javascript_medium","high","14.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","german","14","14","c++ high python low bash high haskell low assembler low java script medium"
10,32,"male","Portuguese","high","no","no","Java","low",0,"less than 1 hour / month","c_high; c++_high; visualbasic_medium; pascal_medium; delphi_medium","medium","5.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java.jpg","Portuguese","2 months","5 years","C(high), C++(high), VB(medium), Pascal (medium), Delphi(medium)"
11,34,"male","English","high","glasses","no","Java","medium",5,"less than 1 hour / month","php_high; python_low; ruby_low; assembly_low; c++_low; javascript_medium","high","16.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","English","5","16","PHP (high) Python (low) Ruby (low) Assembly (low) C++ (low) JavaScript (medium)"
12,44,"female","German","high","no","no","Java","none",0,"not at all","python_low; c++_low","low","4.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x1-y1) and height (x2-y2).",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","German","0","4","python (low) C++ (low) "
13,28,"female","Cantonese","high","contact lenses","no","Java","low",0.5,"not at all","rhinoscript_high; python_low","medium","7.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","cantonese","6 months","7","rhinoscript (high), python (low)"
14,24,"male","German","high","no","no","Java","medium",3,"less than 1 hour / day","python_medium; c++_medium; c#_medium; html_low; php_low; shell_medium","medium","5.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","German","3","5","Python(medium) , C++ (medium), C#(medium), HTML(low), PHP(low), Shell(medium)"
