"level","x1","y1","x2","y2"
"line",531,170,815,191
"line",605,212,974,233
"line",605,254,1254,275
"line",665,296,843,317
"line",665,339,843,360
"line",665,381,843,402
"line",665,423,843,444
"line",605,466,638,487
"line",605,508,1198,529
"line",605,550,1209,571
"line",605,592,1388,613
"line",605,635,1130,656
"line",665,677,1280,698
"line",665,719,1123,740
"line",665,762,1280,783
"line",665,804,1123,825
"line",605,846,638,867
"line",545,888,578,909
"element",531,170,608,191
"element",609,170,675,191
"element",676,170,787,191
"element",788,170,815,191
"element",605,212,699,233
"element",700,212,744,233
"element",745,212,778,233
"element",779,212,800,233
"element",801,212,834,233
"element",835,212,856,233
"element",857,212,890,233
"element",891,212,912,233
"element",913,212,946,233
"element",947,212,974,233
"element",605,254,688,275
"element",689,254,800,275
"element",801,254,822,275
"element",823,254,867,275
"element",868,254,901,275
"element",902,254,923,275
"element",924,254,968,275
"element",969,254,1002,275
"element",1003,254,1024,275
"element",1025,254,1069,275
"element",1070,254,1102,275
"element",1103,254,1125,275
"element",1126,254,1170,275
"element",1171,254,1203,275
"element",1204,254,1226,275
"element",1227,254,1254,275
"element",665,296,759,317
"element",760,296,782,317
"element",783,296,815,317
"element",816,296,843,317
"element",665,339,759,360
"element",760,339,782,360
"element",783,339,815,360
"element",816,339,843,360
"element",665,381,759,402
"element",760,381,782,402
"element",783,381,815,402
"element",816,381,843,402
"element",665,423,759,444
"element",760,423,782,444
"element",783,423,815,444
"element",816,423,843,444
"element",605,466,638,487
"element",605,508,688,529
"element",689,508,733,529
"element",734,508,800,529
"element",801,508,822,529
"element",823,508,845,529
"element",846,508,867,529
"element",868,508,946,529
"element",947,508,1035,529
"element",1036,508,1058,529
"element",1059,508,1147,529
"element",1148,508,1170,529
"element",1171,508,1198,529
"element",605,550,688,571
"element",689,550,733,571
"element",734,550,811,571
"element",812,550,834,571
"element",835,550,856,571
"element",857,550,878,571
"element",879,550,957,571
"element",958,550,1046,571
"element",1047,550,1069,571
"element",1070,550,1158,571
"element",1159,550,1181,571
"element",1182,550,1209,571
"element",605,592,688,613
"element",689,592,766,613
"element",767,592,822,613
"element",823,592,845,613
"element",846,592,867,613
"element",868,592,890,613
"element",891,592,968,613
"element",969,592,1091,613
"element",1092,592,1114,613
"element",1115,592,1136,613
"element",1137,592,1158,613
"element",1159,592,1293,613
"element",1294,592,1315,613
"element",1316,592,1338,613
"element",1339,592,1360,613
"element",1361,592,1388,613
"element",605,635,688,656
"element",689,635,766,656
"element",767,635,822,656
"element",823,635,878,656
"element",879,635,901,656
"element",902,635,979,656
"element",980,635,1002,656
"element",1003,635,1024,656
"element",1025,635,1080,656
"element",1081,635,1102,656
"element",1103,635,1130,656
"element",665,677,782,698
"element",783,677,849,698
"element",850,677,871,698
"element",872,677,916,698
"element",917,677,1028,698
"element",1029,677,1050,698
"element",1051,677,1073,698
"element",1074,677,1095,698
"element",1096,677,1118,698
"element",1119,677,1140,698
"element",1141,677,1174,698
"element",1175,677,1196,698
"element",1197,677,1230,698
"element",1231,677,1252,698
"element",1253,677,1280,698
"element",665,719,882,740
"element",883,719,905,740
"element",906,719,1028,740
"element",1029,719,1050,740
"element",1051,719,1073,740
"element",1074,719,1095,740
"element",1096,719,1123,740
"element",665,762,782,783
"element",783,762,849,783
"element",850,762,871,783
"element",872,762,916,783
"element",917,762,1028,783
"element",1029,762,1050,783
"element",1051,762,1073,783
"element",1074,762,1095,783
"element",1096,762,1118,783
"element",1119,762,1140,783
"element",1141,762,1174,783
"element",1175,762,1196,783
"element",1197,762,1230,783
"element",1231,762,1252,783
"element",1253,762,1280,783
"element",665,804,882,825
"element",883,804,905,825
"element",906,804,1028,825
"element",1029,804,1050,825
"element",1051,804,1073,825
"element",1074,804,1095,825
"element",1096,804,1123,825
"element",605,846,638,867
"element",545,888,578,909
