"level","x1","y1","x2","y2"
"line",587,223,830,241
"line",663,259,978,283
"line",663,291,1218,313
"line",723,331,874,349
"line",723,368,874,386
"line",723,404,874,422
"line",723,440,874,458
"line",663,476,690,494
"line",663,513,1170,531
"line",663,549,1179,567
"line",663,585,1333,603
"line",663,621,1112,639
"line",723,658,1249,676
"line",723,694,1114,712
"line",723,730,1249,748
"line",723,766,1114,784
"line",663,803,690,821
"line",603,839,630,857
"element",587,223,654,241
"element",655,223,711,241
"element",712,223,807,241
"element",808,223,830,241
"element",663,259,743,283
"element",744,259,782,283
"element",783,259,810,283
"element",811,259,830,283
"element",831,259,858,283
"element",859,259,878,283
"element",879,259,906,283
"element",907,259,926,283
"element",927,259,954,283
"element",955,259,978,283
"element",663,291,734,313
"element",735,291,830,313
"element",831,291,849,313
"element",850,291,887,313
"element",888,291,916,313
"element",917,291,935,313
"element",936,291,974,313
"element",975,291,1002,313
"element",1003,291,1022,313
"element",1023,291,1060,313
"element",1061,291,1089,313
"element",1090,291,1108,313
"element",1109,291,1146,313
"element",1147,291,1175,313
"element",1176,291,1194,313
"element",1195,291,1218,313
"element",723,331,803,349
"element",804,331,822,349
"element",823,331,851,349
"element",852,331,874,349
"element",723,368,803,386
"element",804,368,822,386
"element",823,368,851,386
"element",852,368,874,386
"element",723,404,803,422
"element",804,404,822,422
"element",823,404,851,422
"element",852,404,874,422
"element",723,440,803,458
"element",804,440,822,458
"element",823,440,851,458
"element",852,440,874,458
"element",663,476,690,494
"element",663,513,734,531
"element",735,513,772,531
"element",773,513,830,531
"element",831,513,849,531
"element",850,513,868,531
"element",869,513,887,531
"element",888,513,954,531
"element",955,513,1031,531
"element",1032,513,1050,531
"element",1051,513,1127,531
"element",1128,513,1146,531
"element",1147,513,1170,531
"element",663,549,734,567
"element",735,549,772,567
"element",773,549,839,567
"element",840,549,858,567
"element",859,549,878,567
"element",879,549,897,567
"element",898,549,964,567
"element",965,549,1041,567
"element",1042,549,1060,567
"element",1061,549,1137,567
"element",1138,549,1156,567
"element",1157,549,1179,567
"element",663,585,734,603
"element",735,585,801,603
"element",802,585,849,603
"element",850,585,868,603
"element",869,585,887,603
"element",888,585,906,603
"element",907,585,974,603
"element",975,585,1079,603
"element",1080,585,1098,603
"element",1099,585,1118,603
"element",1119,585,1137,603
"element",1138,585,1252,603
"element",1253,585,1271,603
"element",1272,585,1290,603
"element",1291,585,1310,603
"element",1311,585,1333,603
"element",663,621,734,639
"element",735,621,801,639
"element",802,621,849,639
"element",850,621,897,639
"element",898,621,916,639
"element",917,621,983,639
"element",984,621,1002,639
"element",1003,621,1022,639
"element",1023,621,1070,639
"element",1071,621,1089,639
"element",1090,621,1112,639
"element",723,658,822,676
"element",823,658,880,676
"element",881,658,899,676
"element",900,658,938,676
"element",939,658,1034,676
"element",1035,658,1053,676
"element",1054,658,1072,676
"element",1073,658,1091,676
"element",1092,658,1110,676
"element",1111,658,1130,676
"element",1131,658,1158,676
"element",1159,658,1178,676
"element",1179,658,1206,676
"element",1207,658,1226,676
"element",1227,658,1249,676
"element",723,694,909,712
"element",910,694,928,712
"element",929,694,1034,712
"element",1035,694,1053,712
"element",1054,694,1072,712
"element",1073,694,1091,712
"element",1092,694,1114,712
"element",723,730,822,748
"element",823,730,880,748
"element",881,730,899,748
"element",900,730,938,748
"element",939,730,1034,748
"element",1035,730,1053,748
"element",1054,730,1072,748
"element",1073,730,1091,748
"element",1092,730,1110,748
"element",1111,730,1130,748
"element",1131,730,1158,748
"element",1159,730,1178,748
"element",1179,730,1206,748
"element",1207,730,1226,748
"element",1227,730,1249,748
"element",723,766,909,784
"element",910,766,928,784
"element",929,766,1034,784
"element",1035,766,1053,784
"element",1054,766,1072,784
"element",1073,766,1091,784
"element",1092,766,1114,784
"element",663,803,690,821
"element",603,839,630,857
