"level","x1","y1","x2","y2"
"line",599,276,805,297
"line",637,318,1130,339
"line",682,360,838,381
"line",682,402,838,423
"line",682,445,838,466
"line",682,487,838,508
"line",637,529,1163,550
"line",637,572,1174,593
"line",637,614,1320,635
"line",599,656,1029,677
"line",599,698,838,719
"line",599,741,1029,762
"line",599,783,838,804
"element",599,276,665,297
"element",666,276,777,297
"element",778,276,805,297
"element",637,318,687,339
"element",688,318,788,339
"element",789,318,855,339
"element",856,318,878,339
"element",879,318,911,339
"element",912,318,934,339
"element",935,318,967,339
"element",968,318,990,339
"element",991,318,1023,339
"element",1024,318,1046,339
"element",1047,318,1079,339
"element",1080,318,1102,339
"element",1103,318,1130,339
"element",682,360,777,381
"element",778,360,799,381
"element",800,360,838,381
"element",682,402,777,423
"element",778,402,799,423
"element",800,402,838,423
"element",682,445,777,466
"element",778,445,799,466
"element",800,445,838,466
"element",682,487,777,508
"element",778,487,799,508
"element",800,487,838,508
"element",637,529,687,550
"element",688,529,754,550
"element",755,529,777,550
"element",778,529,833,550
"element",834,529,855,550
"element",856,529,878,550
"element",879,529,956,550
"element",957,529,1046,550
"element",1047,529,1068,550
"element",1069,529,1163,550
"element",637,572,687,593
"element",688,572,766,593
"element",767,572,788,593
"element",789,572,844,593
"element",845,572,866,593
"element",867,572,889,593
"element",890,572,967,593
"element",968,572,1057,593
"element",1058,572,1079,593
"element",1080,572,1174,593
"element",637,614,687,635
"element",688,614,743,635
"element",744,614,766,635
"element",767,614,822,635
"element",823,614,844,635
"element",845,614,866,635
"element",867,614,945,635
"element",946,614,1068,635
"element",1069,614,1090,635
"element",1091,614,1113,635
"element",1114,614,1135,635
"element",1136,614,1270,635
"element",1271,614,1292,635
"element",1293,614,1320,635
"element",599,656,665,677
"element",666,656,687,677
"element",688,656,799,677
"element",800,656,822,677
"element",823,656,844,677
"element",845,656,866,677
"element",867,656,889,677
"element",890,656,911,677
"element",912,656,945,677
"element",946,656,967,677
"element",968,656,1001,677
"element",1002,656,1029,677
"element",599,698,665,719
"element",666,698,788,719
"element",789,698,810,719
"element",811,698,838,719
"element",599,741,665,762
"element",666,741,687,762
"element",688,741,799,762
"element",800,741,822,762
"element",823,741,844,762
"element",845,741,866,762
"element",867,741,889,762
"element",890,741,911,762
"element",912,741,945,762
"element",946,741,967,762
"element",968,741,1001,762
"element",1002,741,1029,762
"element",599,783,665,804
"element",666,783,788,804
"element",789,783,810,804
"element",811,783,838,804
