"level","x1","y1","x2","y2"
"line",598,54,866,75
"line",658,96,948,117
"line",658,138,1004,159
"line",658,202,1228,230
"line",718,238,952,265
"line",718,286,907,307
"line",718,328,963,349
"line",718,371,997,392
"line",658,413,691,434
"line",658,476,1071,497
"line",718,519,1322,540
"line",778,561,1191,582
"line",718,603,829,624
"line",778,646,1303,667
"line",718,688,751,709
"line",718,730,1031,751
"line",658,772,691,793
"line",658,836,1183,857
"line",718,878,1288,899
"line",718,921,975,942
"line",658,963,691,984
"line",598,1005,631,1026
"element",598,54,681,75
"element",682,54,748,75
"element",749,54,838,75
"element",839,54,866,75
"element",658,96,741,117
"element",742,96,842,117
"element",843,96,864,117
"element",865,96,920,117
"element",921,96,948,117
"element",658,138,707,159
"element",708,138,808,159
"element",809,138,831,159
"element",832,138,976,159
"element",977,138,1004,159
"element",658,202,741,230
"element",742,202,831,230
"element",832,202,853,230
"element",854,202,931,230
"element",932,202,954,230
"element",955,202,976,230
"element",977,202,1055,230
"element",1056,202,1077,230
"element",1078,202,1099,230
"element",1100,202,1144,230
"element",1145,202,1178,230
"element",1179,202,1200,230
"element",1201,202,1228,230
"element",718,238,879,265
"element",880,238,902,265
"element",903,238,924,265
"element",925,238,952,265
"element",718,286,835,307
"element",836,286,857,307
"element",858,286,879,307
"element",880,286,907,307
"element",718,328,879,349
"element",880,328,902,349
"element",903,328,935,349
"element",936,328,963,349
"element",718,371,924,392
"element",925,371,947,392
"element",948,371,969,392
"element",970,371,997,392
"element",658,413,691,434
"element",658,476,741,497
"element",742,476,786,497
"element",787,476,909,497
"element",910,476,931,497
"element",932,476,976,497
"element",977,476,1021,497
"element",1022,476,1043,497
"element",1044,476,1071,497
"element",718,519,756,540
"element",757,519,779,540
"element",780,519,801,540
"element",802,519,1003,540
"element",1004,519,1025,540
"element",1026,519,1070,540
"element",1071,519,1092,540
"element",1093,519,1115,540
"element",1116,519,1271,540
"element",1272,519,1294,540
"element",1295,519,1322,540
"element",778,561,984,582
"element",985,561,1007,582
"element",1008,561,1163,582
"element",1164,561,1191,582
"element",718,603,745,624
"element",746,603,801,624
"element",802,603,829,624
"element",778,646,984,667
"element",985,646,1007,667
"element",1008,646,1208,667
"element",1209,646,1231,667
"element",1232,646,1275,667
"element",1276,646,1303,667
"element",718,688,751,709
"element",718,730,801,751
"element",802,730,1003,751
"element",1004,730,1031,751
"element",658,772,691,793
"element",658,836,741,857
"element",742,836,819,857
"element",820,836,875,857
"element",876,836,931,857
"element",932,836,954,857
"element",955,836,1032,857
"element",1033,836,1088,857
"element",1089,836,1111,857
"element",1112,836,1133,857
"element",1134,836,1155,857
"element",1156,836,1183,857
"element",718,878,812,899
"element",813,878,835,899
"element",836,878,857,899
"element",858,878,902,899
"element",903,878,991,899
"element",992,878,1014,899
"element",1015,878,1092,899
"element",1093,878,1115,899
"element",1116,878,1171,899
"element",1172,878,1193,899
"element",1194,878,1238,899
"element",1239,878,1260,899
"element",1261,878,1288,899
"element",718,921,868,942
"element",869,921,891,942
"element",892,921,924,942
"element",925,921,947,942
"element",948,921,975,942
"element",658,963,691,984
"element",598,1005,631,1026
