"level","x1","y1","x2","y2"
"line",642,141,870,159
"line",702,177,949,195
"line",702,213,997,231
"line",702,267,1189,285
"line",762,304,961,322
"line",762,340,923,358
"line",762,376,971,394
"line",762,412,1000,430
"line",702,449,729,467
"line",702,503,1055,521
"line",762,539,1278,557
"line",822,576,1175,594
"line",762,612,856,630
"line",822,648,1271,666
"line",762,684,789,702
"line",762,721,1029,739
"line",702,757,729,775
"line",702,811,1151,829
"line",762,847,1249,865
"line",762,884,981,902
"line",702,920,729,938
"line",642,956,669,974
"element",642,141,713,159
"element",714,141,770,159
"element",771,141,847,159
"element",848,141,870,159
"element",702,177,773,195
"element",774,177,859,195
"element",860,177,878,195
"element",879,177,926,195
"element",927,177,949,195
"element",702,213,744,231
"element",745,213,830,231
"element",831,213,849,231
"element",850,213,974,231
"element",975,213,997,231
"element",702,267,773,285
"element",774,267,849,285
"element",850,267,869,285
"element",870,267,936,285
"element",937,267,955,285
"element",956,267,974,285
"element",975,267,1041,285
"element",1042,267,1061,285
"element",1062,267,1080,285
"element",1081,267,1118,285
"element",1119,267,1147,285
"element",1148,267,1166,285
"element",1167,267,1189,285
"element",762,304,900,322
"element",901,304,919,322
"element",920,304,938,322
"element",939,304,961,322
"element",762,340,861,358
"element",862,340,881,358
"element",882,340,900,358
"element",901,340,923,358
"element",762,376,900,394
"element",901,376,919,394
"element",920,376,948,394
"element",949,376,971,394
"element",762,412,938,430
"element",939,412,957,430
"element",958,412,977,430
"element",978,412,1000,430
"element",702,449,729,467
"element",702,503,773,521
"element",774,503,811,521
"element",812,503,917,521
"element",918,503,936,521
"element",937,503,974,521
"element",975,503,1013,521
"element",1014,503,1032,521
"element",1033,503,1055,521
"element",762,539,794,557
"element",795,539,813,557
"element",814,539,833,557
"element",834,539,1005,557
"element",1006,539,1025,557
"element",1026,539,1063,557
"element",1064,539,1082,557
"element",1083,539,1101,557
"element",1102,539,1236,557
"element",1237,539,1255,557
"element",1256,539,1278,557
"element",822,576,998,594
"element",999,576,1017,594
"element",1018,576,1152,594
"element",1153,576,1175,594
"element",762,612,785,630
"element",786,612,833,630
"element",834,612,856,630
"element",822,648,998,666
"element",999,648,1017,666
"element",1018,648,1190,666
"element",1191,648,1209,666
"element",1210,648,1248,666
"element",1249,648,1271,666
"element",762,684,789,702
"element",762,721,833,739
"element",834,721,1005,739
"element",1006,721,1029,739
"element",702,757,729,775
"element",702,811,773,829
"element",774,811,840,829
"element",841,811,888,829
"element",889,811,936,829
"element",937,811,955,829
"element",956,811,1022,829
"element",1023,811,1070,829
"element",1071,811,1089,829
"element",1090,811,1109,829
"element",1110,811,1128,829
"element",1129,811,1151,829
"element",762,847,842,865
"element",843,847,861,865
"element",862,847,881,865
"element",882,847,919,865
"element",920,847,996,865
"element",997,847,1015,865
"element",1016,847,1082,865
"element",1083,847,1101,865
"element",1102,847,1149,865
"element",1150,847,1169,865
"element",1170,847,1207,865
"element",1208,847,1226,865
"element",1227,847,1249,865
"element",762,884,890,902
"element",891,884,909,902
"element",910,884,938,902
"element",939,884,957,902
"element",958,884,981,902
"element",702,920,729,938
"element",642,956,669,974
