"level","x1","y1","x2","y2"
"line",638,223,821,244
"line",676,286,1101,307
"line",721,328,933,349
"line",721,371,900,392
"line",721,413,945,434
"line",721,455,978,476
"line",676,519,1045,540
"line",721,561,1281,582
"line",766,603,1157,624
"line",721,645,810,666
"line",766,688,1269,709
"line",721,730,1012,751
"line",638,793,1045,814
"line",638,836,866,857
"element",638,223,704,244
"element",705,223,793,244
"element",794,223,821,244
"element",676,286,726,307
"element",727,286,827,307
"element",828,286,849,307
"element",850,286,905,307
"element",906,286,928,307
"element",929,286,950,307
"element",951,286,973,307
"element",974,286,995,307
"element",996,286,1017,307
"element",1018,286,1051,307
"element",1052,286,1073,307
"element",1074,286,1101,307
"element",721,328,883,349
"element",884,328,905,349
"element",906,328,933,349
"element",721,371,849,392
"element",850,371,872,392
"element",873,371,900,392
"element",721,413,883,434
"element",884,413,905,434
"element",906,413,945,434
"element",721,455,928,476
"element",929,455,950,476
"element",951,455,978,476
"element",676,519,726,540
"element",727,519,849,540
"element",850,519,872,540
"element",873,519,928,540
"element",929,519,950,540
"element",951,519,995,540
"element",996,519,1017,540
"element",1018,519,1045,540
"element",721,561,760,582
"element",761,561,782,582
"element",783,561,984,582
"element",985,561,1006,582
"element",1007,561,1051,582
"element",1052,561,1073,582
"element",1074,561,1096,582
"element",1097,561,1253,582
"element",1254,561,1281,582
"element",766,603,973,624
"element",974,603,995,624
"element",996,603,1157,624
"element",721,645,782,666
"element",783,645,810,666
"element",766,688,973,709
"element",974,688,995,709
"element",996,688,1197,709
"element",1198,688,1219,709
"element",1220,688,1269,709
"element",721,730,805,751
"element",806,730,1012,751
"element",638,793,659,814
"element",660,793,681,814
"element",682,793,771,814
"element",772,793,793,814
"element",794,793,872,814
"element",873,793,894,814
"element",895,793,950,814
"element",951,793,973,814
"element",974,793,1017,814
"element",1018,793,1045,814
"element",638,836,782,857
"element",783,836,805,857
"element",806,836,838,857
"element",839,836,866,857
