"level","x1","y1","x2","y2"
"line",622,177,1159,198
"line",666,217,867,238
"line",666,257,833,278
"line",666,298,878,319
"line",666,338,911,359
"line",666,397,1001,418
"line",730,438,1289,459
"line",794,478,1185,499
"line",730,518,841,539
"line",794,559,1297,580
"line",730,599,763,620
"line",730,640,942,661
"line",666,680,699,701
"line",622,720,655,741
"line",622,780,991,801
"line",666,820,1113,841
"line",666,860,867,881
"line",622,881,655,903
"element",622,177,694,198
"element",695,177,783,198
"element",784,177,828,198
"element",829,177,918,198
"element",919,177,951,198
"element",952,177,1041,198
"element",1042,177,1086,198
"element",1087,177,1159,198
"element",666,217,715,238
"element",716,217,816,238
"element",817,217,839,238
"element",840,217,867,238
"element",666,257,715,278
"element",716,257,783,278
"element",784,257,805,278
"element",806,257,833,278
"element",666,298,715,319
"element",716,298,816,319
"element",817,298,839,319
"element",840,298,878,319
"element",666,338,715,359
"element",716,338,861,359
"element",862,338,883,359
"element",884,338,911,359
"element",666,397,715,418
"element",716,397,895,418
"element",896,397,951,418
"element",952,397,973,418
"element",974,397,1001,418
"element",730,438,768,459
"element",769,438,992,459
"element",993,438,1015,459
"element",1016,438,1071,459
"element",1072,438,1093,459
"element",1094,438,1261,459
"element",1262,438,1289,459
"element",794,478,1000,499
"element",1001,478,1023,499
"element",1024,478,1185,499
"element",730,518,757,539
"element",758,518,813,539
"element",814,518,841,539
"element",794,559,1000,580
"element",1001,559,1023,580
"element",1024,559,1224,580
"element",1225,559,1247,580
"element",1248,559,1297,580
"element",730,599,763,620
"element",730,640,942,661
"element",666,680,699,701
"element",622,720,655,741
"element",622,780,705,801
"element",706,780,828,801
"element",829,780,918,801
"element",919,780,963,801
"element",964,780,991,801
"element",666,820,715,841
"element",716,820,738,841
"element",739,820,760,841
"element",761,820,805,841
"element",806,820,984,841
"element",985,820,1051,841
"element",1052,820,1113,841
"element",666,860,867,881
"element",622,881,655,903
