stimulus_file	token	AOI	syntactic_context
Vehicle.java	public	line 1 part 1	class->specifier
Vehicle.java	class	line 1 part 2	class
Vehicle.java	Vehicle	line 1 part 3	class->name
Vehicle.java	{	line 1 part 4	class->block
Vehicle.java	String	line 2 part 1	class->block->decl_stmt->decl->type->name
Vehicle.java	producer	line 2 part 2	class->block->decl_stmt->decl->name
Vehicle.java	,	line 2 part 3	class->block->decl_stmt
Vehicle.java	type	line 2 part 4	class->block->decl_stmt->decl->name
Vehicle.java	;	line 2 part 5	class->block->decl_stmt
Vehicle.java	int	line 3 part 1	class->block->decl_stmt->decl->type->name
Vehicle.java	topSpeed	line 3 part 2	class->block->decl_stmt->decl->name
Vehicle.java	,	line 3 part 3	class->block->decl_stmt
Vehicle.java	currentSpeed	line 3 part 4	class->block->decl_stmt->decl->name
Vehicle.java	;	line 3 part 5	class->block->decl_stmt
Vehicle.java	public	line 4 part 1	class->block->constructor->specifier
Vehicle.java	Vehicle	line 4 part 2	class->block->constructor->name
Vehicle.java	(	line 4 part 3	class->block->constructor->parameter_list
Vehicle.java	String	line 4 part 4	class->block->constructor->parameter_list->parameter->decl->type->name
Vehicle.java	p	line 4 part 5	class->block->constructor->specifier
Vehicle.java	,	line 4 part 6	class->block->constructor->parameter_list
Vehicle.java	String	line 4 part 7	class->block->constructor->parameter_list->parameter->decl->type->name
Vehicle.java	t	line 4 part 8	class->block->constructor->parameter_list->parameter->decl->type->name
Vehicle.java	,	line 4 part 9	class->block->constructor->parameter_list
Vehicle.java	int	line 4 part 10	class->block->constructor->parameter_list->parameter->decl->type->name
Vehicle.java	tp	line 4 part 11	class->block->constructor->parameter_list->parameter->decl->type->name
Vehicle.java	)	line 4 part 12	class->block->constructor->parameter_list
Vehicle.java	{	line 4 part 13	class->block->constructor->block
Vehicle.java	this.producer	line 5 part 1	class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name
Vehicle.java	=	line 5 part 2	class->block->constructor->block->block_content->expr_stmt->expr->operator
Vehicle.java	p	line 5 part 3	class->block->constructor->block->block_content->expr_stmt->expr->name->name
Vehicle.java	;	line 5 part 4	class->block->constructor->block->block_content->expr_stmt
Vehicle.java	this.type	line 6 part 1	class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name
Vehicle.java	=	line 6 part 2	class->block->constructor->block->block_content->expr_stmt->expr->operator
Vehicle.java	t	line 6 part 3	class->block->constructor->block->block_content->expr_stmt->expr->name->name
Vehicle.java	;	line 6 part 4	class->block->constructor->block->block_content->expr_stmt
Vehicle.java	this.topSpeed	line 7 part 1	class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name
Vehicle.java	=	line 7 part 2	class->block->constructor->block->block_content->expr_stmt->expr->operator
Vehicle.java	tp	line 7 part 3	class->block->constructor->block->block_content->expr_stmt->expr->name
Vehicle.java	;	line 7 part 4	class->block->constructor->block->block_content->expr_stmt
Vehicle.java	this.currentSpeed	line 8 part 1	class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name
Vehicle.java	=	line 8 part 2	class->block->constructor->block->block_content->expr_stmt->expr->operator
Vehicle.java	0	line 8 part 3	class->block->constructor->block->block_content->expr_stmt->expr->literal
Vehicle.java	;	line 8 part 4	class->block->constructor->block->block_content->expr_stmt
Vehicle.java	}	line 9 part 1	class->block->constructor->block
Vehicle.java	public	line 10 part 1	class->block->function->type->specifier
Vehicle.java	int	line 10 part 2	class->block->function->type->name
Vehicle.java	accelerate	line 10 part 3	class->block->function->name
Vehicle.java	(	line 10 part 4	class->block->function->parameter_list
Vehicle.java	int	line 10 part 5	class->block->function->parameter_list->parameter->decl->type->name
Vehicle.java	kmh	line 10 part 6	class->block->function->parameter_list->parameter->decl->name
Vehicle.java	)	line 10 part 7	class->block->function->parameter_list
Vehicle.java	{	line 10 part 8	class->block->function->block
Vehicle.java	if	line 11 part 1	class->block->function->block->block_content->if_stmt->if
Vehicle.java	(	line 11 part 2	class->block->function->block->block_content->if_stmt->if->condition
Vehicle.java	(	line 11 part 3	class->block->function->block->block_content->if_stmt->if->condition->expr->operator
Vehicle.java	this.currentSpeed	line 11 part 4	class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name
Vehicle.java	+	line 11 part 5	class->block->function->block->block_content->if_stmt->if->condition->expr->operator
Vehicle.java	kmh	line 11 part 6	class->block->function->block->block_content->if_stmt->if->condition->expr->name
Vehicle.java	)	line 11 part 7	class->block->function->block->block_content->if_stmt->if->condition->expr->operator
Vehicle.java	>	line 11 part 8	class->block->function->block->block_content->if_stmt->if->condition->expr->operator
