Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	i++	1225	245	75	383	5	6394	383	1225	245	75	383	5	6394	383	1458	729	75	1383	2	132096	1383	1508	754	83	1425	2	132054	1425	2	6352		376.4	
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	i<x;	1017	339	100	525	3	4319	392	625	312	100	525	2	4961	525	1275	1275	1275	1275	1	130021	1275	1275	1275	1275	1275	1	130021	1275	1		5594		196.89
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	int i = 0;	1275	255	125	408	5	2786	275	750	250	125	408	3	3477	408	1483	1483	1483	1483	1	128488	1483	1516	1516	1516	1516	1	128454	1516	3	2752		160.45	
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	L01-F	2383	265	142	450	9	278	317	1416	236	142	450	6	278	317	2733	1367	725	2008	2	125979	2008	2833	1417	758	2075	2	125913	2075	4	5594	2286	196.89	127.29
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	L02-F	4050	270	75	525	15	2311	442	3133	261	75	525	12	2311	442	4983	1661	75	3283	3	128013	3283	5058	1686	83	3308	3	127988	3308	7	2286	5594	127.29	196.89
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	L03-F	1117	186	92	533	6	8085	92	283	94	92	100	3	8085	92	1583	1583	1583	1583	1	133787	1583	1650	1650	1650	1650	1	133720	1650	1	8019		391.66	
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	P1-Whole-F	7549	252	75	533	30	278	317	4833	230	75	525	21	278	317	9722	9722	9722	9722	1	125979	9722	9789	9789	9789	9789	1	125913	9789	16				
Participant819	N	Timeline1	P1Ca+10s	1	P1Ca	value-L03	92	92	92	92	1	8427	92	92	92	92	92	1	8427	92	92	92	92	92	1	134129	92	117	117	117	117	1	134104	117	0				
