Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P1Ca	1	P1Ca	i++	1375	229	75	383	6	6394	383	1375	229	75	383	6	6394	383	1608	536	75	1383	3	132096	1383	1733	578	83	1425	3	132054	1425	2	6352	12035	376.4	96.78
Participant819	N	Timeline1	P1Ca	1	P1Ca	i<x;	3441	215	67	525	16	4319	392	2633	219	67	525	12	4961	525	3908	355	67	1275	11	130021	1275	4241	386	100	1275	11	130021	1275	3	12035	5594	96.78	196.89
Participant819	N	Timeline1	P1Ca	1	P1Ca	int i = 0;	2066	188	75	408	11	2786	275	1450	181	75	408	8	3477	408	2275	325	75	1483	7	128488	1483	2466	352	92	1516	7	128454	1516	3	2752	13135	160.45	119.52
Participant819	N	Timeline1	P1Ca	1	P1Ca	L01-F	4108	216	100	450	19	278	317	2775	198	100	450	14	278	317	4725	787	367	2008	6	125979	2008	5000	833	408	2075	6	125913	2075	8	5594	2286	196.89	127.29
Participant819	N	Timeline1	P1Ca	1	P1Ca	L02-F	7416	212	67	525	35	2311	442	5991	214	67	525	28	2311	442	9341	849	67	3283	11	128013	3283	9674	879	83	3308	11	127988	3308	14	2286	5594	127.29	196.89
Participant819	N	Timeline1	P1Ca	1	P1Ca	L03-F	2841	167	75	533	17	8085	92	1591	133	75	292	12	8085	92	3341	334	100	1583	10	133787	1583	3641	364	133	1650	10	133720	1650	3	8019	10210	391.66	54.16
Participant819	N	Timeline1	P1Ca	1	P1Ca	L04-F	1583	144	67	233	11	10227	100	1183	148	67	233	8	10227	100	1950	390	175	825	5	135928	492	2100	420	225	867	5	135912	508	3	10210	10718	54.16	124.99
Participant819	N	Timeline1	P1Ca	1	P1Ca	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P1Ca	1	P1Ca	P1-Whole-F	16115	192	41	533	84	278	317	11665	185	67	525	63	278	317	22097	11049	41	22056	2	125979	22056	22172	11086	50	22123	2	125913	22123	46				
Participant819	N	Timeline1	P1Ca	1	P1Ca	value-L03	433	108	92	125	4	8427	92	433	108	92	125	4	8427	92	433	108	92	125	4	134129	92	575	144	117	167	4	134104	117	0	19759	10210	231.96	54.16
