Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant100	Y	Timeline3	P1Sa	1	P1Sa	i++	4400	183	67	792	24	6544	183	4108	187	67	792	22	6544	183	5000	385	67	1292	13	112387	183	5341	411	75	1325	13	112362	208	5	6519	6728	91.78	256.9
Participant100	Y	Timeline3	P1Sa	1	P1Sa	i<x;	11516	192	67	583	60	8519	267	11516	192	67	583	60	8519	267	13857	602	75	3208	23	114362	267	14465	629	92	3250	23	114345	283	13	14502	12735	305.07	202.32
Participant100	Y	Timeline3	P1Sa	1	P1Sa	int i = 0;	13740	186	67	617	74	3495	267	12832	186	67	617	69	3495	267	16123	413	67	2591	39	109337	267	17015	436	75	2600	39	109304	300	17	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa	1	P1Sa	L01-F	3391	147	67	425	23	195	208	3391	147	67	425	23	195	208	4425	442	92	1841	10	106038	675	4783	478	117	1883	10	105988	725	4	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa	1	P1Sa	L02-F	32380	184	67	792	176	3495	267	31181	184	67	792	169	3495	267	42029	858	67	4333	49	109337	267	43337	884	75	4350	49	109304	300	51	3461	3761	117.63	38.91
Participant100	Y	Timeline3	P1Sa	1	P1Sa	L03-F	8758	151	67	442	58	4303	158	8399	153	67	442	55	4303	158	12040	602	92	1808	20	110146	442	12582	629	100	1817	20	110129	458	14	15810	4744	131.75	307.42
Participant100	Y	Timeline3	P1Sa	1	P1Sa	L04-F	10991	153	67	342	72	5011	258	9782	153	67	342	64	5011	258	15957	760	125	2075	21	110854	1292	16365	779	142	2091	21	110812	1333	20	4969	20243	327.13	186.59
Participant100	Y	Timeline3	P1Sa	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant100	Y	Timeline3	P1Sa	1	P1Sa	P1-Whole-F	67085	166	67	792	404	195	208	63652	167	67	792	382	195	208	102611	7329	442	31355	14	106038	675	103145	7367	467	31372	14	105988	725	148	145	870	289.82	104.38
Participant100	Y	Timeline3	P1Sa	1	P1Sa	value-L03	2625	175	67	408	15	4303	158	2475	177	67	408	14	4303	158	2833	283	92	725	10	110146	158	3100	310	108	742	10	110129	175	2	16218	4461	205.74	103.01
Participant100	Y	Timeline3	P1Sa	1	P1Sa	value-L04	1342	149	67	292	9	5686	292	1217	152	67	292	8	5686	292	1408	201	108	292	7	111529	292	1558	223	133	333	7	111487	333	1	5644	5978	130.45	127.49
Participant611	Y	Timeline4	P1Sa	1	P1Sa	i++	1666	333	225	458	5	3092	458	1666	333	225	458	5	3092	458	1708	569	458	633	3	138364	458	1850	617	492	700	3	138330	492	2	3058	3550	116.18	339.72
Participant611	Y	Timeline4	P1Sa	1	P1Sa	i<x;	2625	262	125	492	10	1059	125	2500	278	150	492	9	1234	283	2750	550	150	1075	5	136331	458	2933	587	183	1108	5	136289	500	4	1017	1517	217.45	135.97
Participant611	Y	Timeline4	P1Sa	1	P1Sa	int i = 0;	2450	245	117	400	10	900	117	1667	238	125	392	7	1558	392	2725	341	117	1233	8	136172	117	3016	377	117	1300	8	136172	117	1	1517	1017	135.97	217.45
Participant611	Y	Timeline4	P1Sa	1	P1Sa	L01-F	2433	174	67	350	14	417	158	1900	173	67	350	11	417	158	2816	469	183	1042	6	135689	350	2958	493	183	1058	6	135656	383	4	384	15740	108.29	353.51
Participant611	Y	Timeline4	P1Sa	1	P1Sa	L02-F	6908	266	117	492	26	900	117	5999	273	125	492	22	1234	283	7691	855	167	2650	9	136172	2650	8049	894	200	2650	9	136172	2650	14	8891	3550	97.66	339.72
Participant611	Y	Timeline4	P1Sa	1	P1Sa	L03-F	8424	234	67	617	36	3617	375	7416	247	67	617	30	3617	375	9924	1241	233	2900	8	138889	1242	10374	1297	275	2983	8	138822	1308	19	3550	8891	339.72	97.66
Participant611	Y	Timeline4	P1Sa	1	P1Sa	L04-F	5474	228	67	600	24	5233	167	5308	231	67	600	23	5566	200	7024	1405	133	4316	5	140505	1142	7149	1430	175	4333	5	140505	1142	5	19382	6375	190.39	173.07
Participant611	Y	Timeline4	P1Sa	1	P1Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant611	Y	Timeline4	P1Sa	1	P1Sa	P1-Whole-F	24756	225	67	617	110	217	167	21940	231	67	617	95	217	167	31839	15919	133	31705	2	135489	31705	31905	15953	175	31730	2	135464	31730	63	32180		214.31	
Participant611	Y	Timeline4	P1Sa	1	P1Sa	value-L03	1642	235	100	375	7	3617	375	1642	235	100	375	7	3617	375	1675	279	158	375	6	138889	375	1992	332	200	442	6	138822	442	0	3550	3992	339.72	90.41
Participant611	Y	Timeline4	P1Sa	1	P1Sa	value-L04	867	217	158	308	4	19632	308	867	217	158	308	4	19632	308	867	217	158	308	4	154904	308	1017	254	175	358	4	154854	358	0		19940		112.65
Participant237	Y	Timeline5	P1Sa	1	P1Sa	i++	650	130	108	167	5	10770	108	392	131	108	167	3	10770	108	783	196	108	442	4	170424	108	842	210	117	458	4	170399	133	0				
