Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Ai++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Ai<x;	217	109	101	117	2	9766	117	0	0			0			234	234	234	234	1	422385	234	234	234	234	234	1	422385	234	0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Aint i = 0;	2583	215	75	517	12	5733	75	1400	200	83	517	7	6325	200	3008	752	75	2033	4	418352	75	3150	787	142	2058	4	418285	142	5	5666	8733	454.71	86.2
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L01-F	1125	141	92	225	8	1108	142	1125	141	92	225	8	1108	142	1591	530	417	692	3	413727	692	1683	561	433	733	3	413686	733	3	1067	1800	186.5	95.8
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L02-F	1042	174	100	225	6	4191	183	717	179	100	225	4	4508	167	1242	621	225	1017	2	416811	1017	1283	642	250	1033	2	416794	1033	3	4175	5666	78.7	454.71
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L03-F	3367	187	75	517	18	5733	75	1691	188	83	517	9	5858	92	4267	4267	4267	4267	1	418352	4267	4334	4334	4334	4334	1	418285	4334	8	5666		454.71	
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L01	533	178	142	225	3	1575	225	533	178	142	225	3	1575	225	708	354	225	483	2	414194	225	783	392	267	517	2	414152	267	0	1533	1800	279.82	95.8
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L03	101	101	101	101	1	9899	101	0	0			0			101	101	101	101	1	422518	101	101	101	101	101	1	422518	101	0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L15	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	numbers-L16	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	P3-Whole-F	7208	176	75	517	41	50	108	4916	176	83	517	28	233	117	9950	9950	9950	9950	1	412669	9950	9975	9975	9975	9975	1	412644	9975	23				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	temp-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P3Sa+10s	1	P3Sa	temp-L10	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Ai++	217	217	217	217	1	9636	217	217	217	217	217	1	9636	217	217	217	217	217	1	375836	217	258	258	258	258	1	375794	258	0	9595	9853	337.33	39.18
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Ai<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Aint i = 0;	225	225	225	225	1	6878	225	225	225	225	225	1	6878	225	225	225	225	225	1	373078	225	258	258	258	258	1	373045	258	0	6845	7103	45.29	39.98
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Bi++	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Bi<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Bint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Ci++	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Ci<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	Cint i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	j-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	j-L07	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	j-L11	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L01-F	1867	156	67	342	12	446	150	1658	166	92	342	10	446	150	2158	270	67	592	8	366645	150	2425	303	83	617	8	366620	175	0	912	596	63.49	73.18
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L02-F	575	287	225	350	2	5037	225	575	287	225	350	2	5037	225	575	287	225	350	2	371237	225	667	333	267	400	2	371195	267	0	4995	5262	106.17	80.73
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L03-F	567	189	125	225	3	2787	125	567	189	125	225	3	2787	125	567	189	125	225	3	368987	125	683	228	167	258	3	368945	167	0	2745	2912	126.91	325.99
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L04-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L05-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L06-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L10-F	171	171	171	171	1	0	171	0	0			0			171	171	171	171	1	366200	171	171	171	171	171	1	366200	171	0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L14-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L15-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L16-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	L17-F	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L01	275	137	125	150	2	446	150	275	137	125	150	2	446	150	275	137	125	150	2	366645	150	325	162	150	175	2	366620	175	0	912	596	63.49	73.18
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L03	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L04	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L06	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L08	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L09a	0	0			0			0	0			0			0	0			0							0			0				
Participant645	Y	Timeline1	P3Sa+10s	1	P3Sa	numbers-L09b	0	0			0			0	0			0			0	0			0							0			0				
