Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P3Sa	1	P3Sa	Ai++	1092	218	100	400	5	10574	400	933	233	100	400	4	10574	400	1092	218	100	400	5	423193	400	1250	250	158	417	5	423177	417	0	10557	10974	173.64	203.87
Participant819	N	Timeline1	P3Sa	1	P3Sa	Ai<x;	7507	203	67	467	37	9766	117	5983	214	92	458	28	10399	158	9216	542	92	2491	17	422385	792	9749	573	125	2525	17	422385	792	10	14715	10557	311.52	173.64
Participant819	N	Timeline1	P3Sa	1	P3Sa	Aint i = 0;	8966	213	75	517	42	5733	75	7508	209	83	517	36	6325	200	10299	572	75	2033	18	418352	75	10899	605	133	2058	18	418285	142	18	5666	8733	454.71	86.2
Participant819	N	Timeline1	P3Sa	1	P3Sa	Bi++	608	203	150	233	3	34555	233	608	203	150	233	3	34555	233	617	308	150	467	2	447174	467	650	325	158	492	2	447149	492	1	34530	75890	185.73	232.24
Participant819	N	Timeline1	P3Sa	1	P3Sa	Bi<x;	4433	233	67	600	19	34313	217	2416	186	67	450	13	34313	217	5116	568	167	1691	9	446933	217	5249	583	175	1708	9	446924	225	5	34305	34530	30.78	185.73
Participant819	N	Timeline1	P3Sa	1	P3Sa	Bint i = 0;	4083	255	67	875	16	31489	175	3991	266	67	875	15	31489	175	4408	490	108	1383	9	444108	175	4633	515	125	1400	9	444091	192	4	35338	31664	284.68	118.77
Participant819	N	Timeline1	P3Sa	1	P3Sa	Ci++	75	75	75	75	1	43013	75	0	0			0			75	75	75	75	1	455632	75	92	92	92	92	1	455615	92	0				
Participant819	N	Timeline1	P3Sa	1	P3Sa	Ci<x;	1250	104	67	192	12	42488	192	1000	100	67	192	10	42488	192	1766	294	67	983	6	455107	433	1867	311	75	1008	6	455090	450	0	136255	91088	115.02	91.38
Participant819	N	Timeline1	P3Sa	1	P3Sa	Cint i = 0;	542	181	83	258	3	87438	83	542	181	83	258	3	87438	83	592	296	258	333	2	500057	333	633	317	283	350	2	500041	350	0		87772		92.94
Participant819	N	Timeline1	P3Sa	1	P3Sa	j-L06	1433	159	83	350	9	19823	83	850	142	100	200	6	24798	133	1433	159	83	350	9	432442	83	1717	191	108	433	9	432417	108	0	19798	24931	75.29	92.34
